86.107.50.60,4433,AM,Baxet Group Inc.
138.235.11.48,2086,NZ,Inland Revenue Department
138.235.11.55,2086,NZ,Inland Revenue Department
138.235.11.64,2086,NZ,Inland Revenue Department
138.235.11.76,2086,NZ,Inland Revenue Department
138.235.11.81,2086,NZ,Inland Revenue Department
138.235.11.91,2086,NZ,Inland Revenue Department
138.235.11.92,2086,NZ,Inland Revenue Department
138.235.11.122,2086,NZ,Inland Revenue Department
138.235.11.124,2086,NZ,Inland Revenue Department
138.235.11.132,2086,NZ,Inland Revenue Department
138.235.11.133,2086,NZ,Inland Revenue Department
138.235.11.139,2086,NZ,Inland Revenue Department
138.235.11.140,2086,NZ,Inland Revenue Department
138.235.11.147,2086,NZ,Inland Revenue Department
138.235.11.157,2086,NZ,Inland Revenue Department
138.235.11.166,2086,NZ,Inland Revenue Department
138.235.11.180,2086,NZ,Inland Revenue Department
138.235.11.185,2086,NZ,Inland Revenue Department
138.235.11.187,2086,NZ,Inland Revenue Department
138.235.11.188,2086,NZ,Inland Revenue Department
138.235.11.189,2086,NZ,Inland Revenue Department
138.235.11.192,2086,NZ,Inland Revenue Department
138.235.11.193,2086,NZ,Inland Revenue Department
138.235.11.194,2086,NZ,Inland Revenue Department
138.235.11.195,2086,NZ,Inland Revenue Department
138.235.11.198,2086,NZ,Inland Revenue Department
138.235.11.202,2086,NZ,Inland Revenue Department
138.235.11.203,2086,NZ,Inland Revenue Department
138.235.11.211,2086,NZ,Inland Revenue Department
138.235.11.213,2086,NZ,Inland Revenue Department
138.235.11.216,2086,NZ,Inland Revenue Department
138.235.11.221,2086,NZ,Inland Revenue Department
138.235.11.235,2086,NZ,Inland Revenue Department
138.235.11.237,2086,NZ,Inland Revenue Department
138.235.11.241,2086,NZ,Inland Revenue Department
138.235.11.245,2086,NZ,Inland Revenue Department
138.235.8.1,2095,NZ,Inland Revenue Department
138.235.8.11,2095,NZ,Inland Revenue Department
138.235.8.14,2095,NZ,Inland Revenue Department
138.235.8.19,2095,NZ,Inland Revenue Department
138.235.8.22,2095,NZ,Inland Revenue Department
138.235.8.34,2095,NZ,Inland Revenue Department
138.235.8.36,2095,NZ,Inland Revenue Department
138.235.8.53,2095,NZ,Inland Revenue Department
138.235.8.63,2095,NZ,Inland Revenue Department
138.235.8.65,2095,NZ,Inland Revenue Department
138.235.8.66,2095,NZ,Inland Revenue Department
138.235.8.75,2095,NZ,Inland Revenue Department
138.235.8.81,2095,NZ,Inland Revenue Department
138.235.8.83,2095,NZ,Inland Revenue Department
138.235.8.84,2095,NZ,Inland Revenue Department
138.235.8.104,2095,NZ,Inland Revenue Department
138.235.8.105,2095,NZ,Inland Revenue Department
138.235.8.110,2095,NZ,Inland Revenue Department
138.235.8.114,2095,NZ,Inland Revenue Department
138.235.8.122,2095,NZ,Inland Revenue Department
138.235.8.123,2095,NZ,Inland Revenue Department
138.235.8.125,2095,NZ,Inland Revenue Department
138.235.8.157,2095,NZ,Inland Revenue Department
138.235.8.165,2095,NZ,Inland Revenue Department
138.235.8.172,2095,NZ,Inland Revenue Department
138.235.8.179,2095,NZ,Inland Revenue Department
138.235.8.185,2095,NZ,Inland Revenue Department
138.235.8.188,2095,NZ,Inland Revenue Department
138.235.8.190,2095,NZ,Inland Revenue Department
138.235.8.196,2095,NZ,Inland Revenue Department
138.235.8.199,2095,NZ,Inland Revenue Department
138.235.8.203,2095,NZ,Inland Revenue Department
138.235.8.210,2095,NZ,Inland Revenue Department
138.235.8.219,2095,NZ,Inland Revenue Department
138.235.8.223,2095,NZ,Inland Revenue Department
138.235.8.226,2095,NZ,Inland Revenue Department
138.235.8.230,2095,NZ,Inland Revenue Department
138.235.8.234,2095,NZ,Inland Revenue Department
138.235.8.237,2095,NZ,Inland Revenue Department
138.235.8.238,2095,NZ,Inland Revenue Department
138.235.8.250,2095,NZ,Inland Revenue Department
138.235.8.252,2095,NZ,Inland Revenue Department
138.235.8.255,2095,NZ,Inland Revenue Department
138.235.9.11,2095,NZ,Inland Revenue Department
138.235.9.26,2095,NZ,Inland Revenue Department
138.235.9.37,2095,NZ,Inland Revenue Department
138.235.9.38,2095,NZ,Inland Revenue Department
138.235.9.41,2095,NZ,Inland Revenue Department
138.235.9.46,2095,NZ,Inland Revenue Department
138.235.9.52,2095,NZ,Inland Revenue Department
138.235.9.56,2095,NZ,Inland Revenue Department
138.235.9.61,2095,NZ,Inland Revenue Department
138.235.9.63,2095,NZ,Inland Revenue Department
138.235.9.67,2095,NZ,Inland Revenue Department
138.235.9.69,2095,NZ,Inland Revenue Department
138.235.9.77,2095,NZ,Inland Revenue Department
138.235.9.90,2095,NZ,Inland Revenue Department
138.235.9.99,2095,NZ,Inland Revenue Department
138.235.9.102,2095,NZ,Inland Revenue Department
138.235.9.114,2095,NZ,Inland Revenue Department
138.235.9.124,2095,NZ,Inland Revenue Department
138.235.9.127,2095,NZ,Inland Revenue Department
138.235.9.135,2095,NZ,Inland Revenue Department
138.235.9.137,2095,NZ,Inland Revenue Department
138.235.9.140,2095,NZ,Inland Revenue Department
138.235.9.142,2095,NZ,Inland Revenue Department
138.235.9.154,2095,NZ,Inland Revenue Department
138.235.9.157,2095,NZ,Inland Revenue Department
138.235.9.164,2095,NZ,Inland Revenue Department
138.235.9.167,2095,NZ,Inland Revenue Department
138.235.9.171,2095,NZ,Inland Revenue Department
138.235.9.176,2095,NZ,Inland Revenue Department
138.235.9.178,2095,NZ,Inland Revenue Department
138.235.9.182,2095,NZ,Inland Revenue Department
138.235.9.186,2095,NZ,Inland Revenue Department
138.235.9.203,2095,NZ,Inland Revenue Department
138.235.9.206,2095,NZ,Inland Revenue Department
138.235.9.215,2095,NZ,Inland Revenue Department
138.235.9.236,2095,NZ,Inland Revenue Department
138.235.9.241,2095,NZ,Inland Revenue Department
138.235.9.249,2095,NZ,Inland Revenue Department
138.235.9.251,2095,NZ,Inland Revenue Department
138.235.9.252,2095,NZ,Inland Revenue Department
138.235.9.253,2095,NZ,Inland Revenue Department
138.235.11.6,2095,NZ,Inland Revenue Department
138.235.11.14,2095,NZ,Inland Revenue Department
138.235.11.20,2095,NZ,Inland Revenue Department
138.235.11.22,2095,NZ,Inland Revenue Department
138.235.11.25,2095,NZ,Inland Revenue Department
138.235.11.26,2095,NZ,Inland Revenue Department
138.235.11.28,2095,NZ,Inland Revenue Department
138.235.11.32,2095,NZ,Inland Revenue Department
138.235.11.37,2095,NZ,Inland Revenue Department
138.235.11.42,2095,NZ,Inland Revenue Department
138.235.11.43,2095,NZ,Inland Revenue Department
138.235.11.48,2095,NZ,Inland Revenue Department
138.235.11.55,2095,NZ,Inland Revenue Department
138.235.11.64,2095,NZ,Inland Revenue Department
138.235.11.76,2095,NZ,Inland Revenue Department
138.235.11.81,2095,NZ,Inland Revenue Department
138.235.11.91,2095,NZ,Inland Revenue Department
138.235.11.92,2095,NZ,Inland Revenue Department
138.235.11.122,2095,NZ,Inland Revenue Department
138.235.11.124,2095,NZ,Inland Revenue Department
138.235.11.132,2095,NZ,Inland Revenue Department
138.235.11.133,2095,NZ,Inland Revenue Department
138.235.11.139,2095,NZ,Inland Revenue Department
138.235.11.140,2095,NZ,Inland Revenue Department
138.235.11.147,2095,NZ,Inland Revenue Department
138.235.11.157,2095,NZ,Inland Revenue Department
138.235.11.166,2095,NZ,Inland Revenue Department
138.235.11.180,2095,NZ,Inland Revenue Department
138.235.11.185,2095,NZ,Inland Revenue Department
138.235.11.187,2095,NZ,Inland Revenue Department
138.235.11.188,2095,NZ,Inland Revenue Department
138.235.11.189,2095,NZ,Inland Revenue Department
138.235.11.192,2095,NZ,Inland Revenue Department
138.235.11.193,2095,NZ,Inland Revenue Department
138.235.11.194,2095,NZ,Inland Revenue Department
138.235.11.195,2095,NZ,Inland Revenue Department
138.235.11.198,2095,NZ,Inland Revenue Department
138.235.11.202,2095,NZ,Inland Revenue Department
138.235.11.203,2095,NZ,Inland Revenue Department
138.235.11.211,2095,NZ,Inland Revenue Department
138.235.11.213,2095,NZ,Inland Revenue Department
138.235.11.216,2095,NZ,Inland Revenue Department
138.235.11.221,2095,NZ,Inland Revenue Department
138.235.11.235,2095,NZ,Inland Revenue Department
138.235.11.237,2095,NZ,Inland Revenue Department
138.235.11.241,2095,NZ,Inland Revenue Department
138.235.11.245,2095,NZ,Inland Revenue Department
138.235.8.1,8080,NZ,Inland Revenue Department
138.235.8.11,8080,NZ,Inland Revenue Department
138.235.8.14,8080,NZ,Inland Revenue Department
138.235.8.19,8080,NZ,Inland Revenue Department
138.235.8.22,8080,NZ,Inland Revenue Department
138.235.8.34,8080,NZ,Inland Revenue Department
138.235.8.36,8080,NZ,Inland Revenue Department
138.235.8.53,8080,NZ,Inland Revenue Department
138.235.8.63,8080,NZ,Inland Revenue Department
138.235.8.65,8080,NZ,Inland Revenue Department
138.235.8.66,8080,NZ,Inland Revenue Department
138.235.8.75,8080,NZ,Inland Revenue Department
138.235.8.81,8080,NZ,Inland Revenue Department
138.235.8.83,8080,NZ,Inland Revenue Department
138.235.8.84,8080,NZ,Inland Revenue Department
138.235.8.104,8080,NZ,Inland Revenue Department
138.235.8.105,8080,NZ,Inland Revenue Department
138.235.8.110,8080,NZ,Inland Revenue Department
138.235.8.114,8080,NZ,Inland Revenue Department
138.235.8.122,8080,NZ,Inland Revenue Department
138.235.8.123,8080,NZ,Inland Revenue Department
138.235.8.125,8080,NZ,Inland Revenue Department
138.235.8.157,8080,NZ,Inland Revenue Department
138.235.8.165,8080,NZ,Inland Revenue Department
138.235.8.172,8080,NZ,Inland Revenue Department
138.235.8.179,8080,NZ,Inland Revenue Department
138.235.8.185,8080,NZ,Inland Revenue Department
138.235.8.188,8080,NZ,Inland Revenue Department
138.235.8.190,8080,NZ,Inland Revenue Department
138.235.8.196,8080,NZ,Inland Revenue Department
138.235.8.199,8080,NZ,Inland Revenue Department
138.235.8.203,8080,NZ,Inland Revenue Department
138.235.8.210,8080,NZ,Inland Revenue Department
138.235.8.219,8080,NZ,Inland Revenue Department
138.235.8.223,8080,NZ,Inland Revenue Department
138.235.8.226,8080,NZ,Inland Revenue Department
138.235.8.230,8080,NZ,Inland Revenue Department
138.235.8.234,8080,NZ,Inland Revenue Department
138.235.8.237,8080,NZ,Inland Revenue Department
138.235.8.238,8080,NZ,Inland Revenue Department
138.235.8.250,8080,NZ,Inland Revenue Department
138.235.8.252,8080,NZ,Inland Revenue Department
138.235.8.255,8080,NZ,Inland Revenue Department
138.235.9.11,8080,NZ,Inland Revenue Department
138.235.9.26,8080,NZ,Inland Revenue Department
138.235.9.37,8080,NZ,Inland Revenue Department
138.235.9.38,8080,NZ,Inland Revenue Department
138.235.9.41,8080,NZ,Inland Revenue Department
138.235.9.46,8080,NZ,Inland Revenue Department
138.235.9.52,8080,NZ,Inland Revenue Department
138.235.9.56,8080,NZ,Inland Revenue Department
138.235.9.61,8080,NZ,Inland Revenue Department
138.235.9.63,8080,NZ,Inland Revenue Department
138.235.9.67,8080,NZ,Inland Revenue Department
138.235.9.69,8080,NZ,Inland Revenue Department
138.235.9.77,8080,NZ,Inland Revenue Department
138.235.9.90,8080,NZ,Inland Revenue Department
138.235.9.99,8080,NZ,Inland Revenue Department
138.235.9.102,8080,NZ,Inland Revenue Department
138.235.9.114,8080,NZ,Inland Revenue Department
138.235.9.124,8080,NZ,Inland Revenue Department
138.235.9.127,8080,NZ,Inland Revenue Department
138.235.9.135,8080,NZ,Inland Revenue Department
138.235.9.137,8080,NZ,Inland Revenue Department
138.235.9.140,8080,NZ,Inland Revenue Department
138.235.9.142,8080,NZ,Inland Revenue Department
138.235.9.154,8080,NZ,Inland Revenue Department
138.235.9.157,8080,NZ,Inland Revenue Department
138.235.9.164,8080,NZ,Inland Revenue Department
138.235.9.167,8080,NZ,Inland Revenue Department
138.235.9.171,8080,NZ,Inland Revenue Department
138.235.9.176,8080,NZ,Inland Revenue Department
138.235.9.178,8080,NZ,Inland Revenue Department
138.235.9.182,8080,NZ,Inland Revenue Department
138.235.9.186,8080,NZ,Inland Revenue Department
138.235.9.203,8080,NZ,Inland Revenue Department
138.235.9.206,8080,NZ,Inland Revenue Department
138.235.9.215,8080,NZ,Inland Revenue Department
138.235.9.236,8080,NZ,Inland Revenue Department
138.235.9.241,8080,NZ,Inland Revenue Department
138.235.9.249,8080,NZ,Inland Revenue Department
138.235.9.251,8080,NZ,Inland Revenue Department
138.235.9.252,8080,NZ,Inland Revenue Department
138.235.9.253,8080,NZ,Inland Revenue Department
138.235.11.6,8080,NZ,Inland Revenue Department
138.235.11.14,8080,NZ,Inland Revenue Department
138.235.11.20,8080,NZ,Inland Revenue Department
138.235.11.22,8080,NZ,Inland Revenue Department
138.235.11.25,8080,NZ,Inland Revenue Department
138.235.11.26,8080,NZ,Inland Revenue Department
138.235.11.28,8080,NZ,Inland Revenue Department
138.235.11.32,8080,NZ,Inland Revenue Department
138.235.11.37,8080,NZ,Inland Revenue Department
138.235.11.42,8080,NZ,Inland Revenue Department
138.235.11.43,8080,NZ,Inland Revenue Department
138.235.11.48,8080,NZ,Inland Revenue Department
138.235.11.55,8080,NZ,Inland Revenue Department
138.235.11.64,8080,NZ,Inland Revenue Department
138.235.11.76,8080,NZ,Inland Revenue Department
138.235.11.81,8080,NZ,Inland Revenue Department
138.235.11.91,8080,NZ,Inland Revenue Department
138.235.11.92,8080,NZ,Inland Revenue Department
138.235.11.122,8080,NZ,Inland Revenue Department
138.235.11.124,8080,NZ,Inland Revenue Department
138.235.11.132,8080,NZ,Inland Revenue Department
138.235.11.133,8080,NZ,Inland Revenue Department
138.235.11.139,8080,NZ,Inland Revenue Department
138.235.11.140,8080,NZ,Inland Revenue Department
138.235.11.147,8080,NZ,Inland Revenue Department
138.235.11.157,8080,NZ,Inland Revenue Department
138.235.11.166,8080,NZ,Inland Revenue Department
138.235.11.180,8080,NZ,Inland Revenue Department
138.235.11.185,8080,NZ,Inland Revenue Department
138.235.11.187,8080,NZ,Inland Revenue Department
138.235.11.188,8080,NZ,Inland Revenue Department
138.235.11.189,8080,NZ,Inland Revenue Department
138.235.11.192,8080,NZ,Inland Revenue Department
138.235.11.193,8080,NZ,Inland Revenue Department
138.235.11.194,8080,NZ,Inland Revenue Department
138.235.11.195,8080,NZ,Inland Revenue Department
138.235.11.198,8080,NZ,Inland Revenue Department
138.235.11.202,8080,NZ,Inland Revenue Department
138.235.11.203,8080,NZ,Inland Revenue Department
138.235.11.211,8080,NZ,Inland Revenue Department
138.235.11.213,8080,NZ,Inland Revenue Department
138.235.11.216,8080,NZ,Inland Revenue Department
138.235.11.221,8080,NZ,Inland Revenue Department
138.235.11.235,8080,NZ,Inland Revenue Department
138.235.11.237,8080,NZ,Inland Revenue Department
138.235.11.241,8080,NZ,Inland Revenue Department
138.235.11.245,8080,NZ,Inland Revenue Department
138.235.8.1,8880,NZ,Inland Revenue Department
138.235.8.11,8880,NZ,Inland Revenue Department
138.235.8.14,8880,NZ,Inland Revenue Department
138.235.8.19,8880,NZ,Inland Revenue Department
138.235.8.22,8880,NZ,Inland Revenue Department
138.235.8.34,8880,NZ,Inland Revenue Department
138.235.8.36,8880,NZ,Inland Revenue Department
138.235.8.53,8880,NZ,Inland Revenue Department
138.235.8.63,8880,NZ,Inland Revenue Department
138.235.8.65,8880,NZ,Inland Revenue Department
138.235.8.66,8880,NZ,Inland Revenue Department
138.235.8.75,8880,NZ,Inland Revenue Department
138.235.8.81,8880,NZ,Inland Revenue Department
138.235.8.83,8880,NZ,Inland Revenue Department
138.235.8.84,8880,NZ,Inland Revenue Department
138.235.8.104,8880,NZ,Inland Revenue Department
138.235.8.105,8880,NZ,Inland Revenue Department
138.235.8.110,8880,NZ,Inland Revenue Department
138.235.8.114,8880,NZ,Inland Revenue Department
138.235.8.122,8880,NZ,Inland Revenue Department
138.235.8.123,8880,NZ,Inland Revenue Department
138.235.8.125,8880,NZ,Inland Revenue Department
138.235.8.157,8880,NZ,Inland Revenue Department
138.235.8.165,8880,NZ,Inland Revenue Department
138.235.8.172,8880,NZ,Inland Revenue Department
138.235.8.179,8880,NZ,Inland Revenue Department
138.235.8.185,8880,NZ,Inland Revenue Department
138.235.8.188,8880,NZ,Inland Revenue Department
138.235.8.190,8880,NZ,Inland Revenue Department
138.235.8.196,8880,NZ,Inland Revenue Department
138.235.8.199,8880,NZ,Inland Revenue Department
138.235.8.203,8880,NZ,Inland Revenue Department
138.235.8.210,8880,NZ,Inland Revenue Department
138.235.8.219,8880,NZ,Inland Revenue Department
138.235.8.223,8880,NZ,Inland Revenue Department
138.235.8.226,8880,NZ,Inland Revenue Department
138.235.8.230,8880,NZ,Inland Revenue Department
138.235.8.234,8880,NZ,Inland Revenue Department
138.235.8.237,8880,NZ,Inland Revenue Department
138.235.8.238,8880,NZ,Inland Revenue Department
138.235.8.250,8880,NZ,Inland Revenue Department
138.235.8.252,8880,NZ,Inland Revenue Department
138.235.8.255,8880,NZ,Inland Revenue Department
138.235.9.11,8880,NZ,Inland Revenue Department
138.235.9.26,8880,NZ,Inland Revenue Department
138.235.9.37,8880,NZ,Inland Revenue Department
138.235.9.38,8880,NZ,Inland Revenue Department
138.235.9.41,8880,NZ,Inland Revenue Department
138.235.9.46,8880,NZ,Inland Revenue Department
138.235.9.52,8880,NZ,Inland Revenue Department
138.235.9.56,8880,NZ,Inland Revenue Department
138.235.9.61,8880,NZ,Inland Revenue Department
138.235.9.63,8880,NZ,Inland Revenue Department
138.235.9.67,8880,NZ,Inland Revenue Department
138.235.9.69,8880,NZ,Inland Revenue Department
138.235.9.77,8880,NZ,Inland Revenue Department
138.235.9.90,8880,NZ,Inland Revenue Department
138.235.9.99,8880,NZ,Inland Revenue Department
138.235.9.102,8880,NZ,Inland Revenue Department
138.235.9.114,8880,NZ,Inland Revenue Department
138.235.9.124,8880,NZ,Inland Revenue Department
138.235.9.127,8880,NZ,Inland Revenue Department
138.235.9.135,8880,NZ,Inland Revenue Department
138.235.9.137,8880,NZ,Inland Revenue Department
138.235.9.140,8880,NZ,Inland Revenue Department
138.235.9.142,8880,NZ,Inland Revenue Department
138.235.9.154,8880,NZ,Inland Revenue Department
138.235.9.157,8880,NZ,Inland Revenue Department
138.235.9.164,8880,NZ,Inland Revenue Department
138.235.9.167,8880,NZ,Inland Revenue Department
138.235.9.171,8880,NZ,Inland Revenue Department
138.235.9.176,8880,NZ,Inland Revenue Department
138.235.9.178,8880,NZ,Inland Revenue Department
138.235.9.182,8880,NZ,Inland Revenue Department
138.235.9.186,8880,NZ,Inland Revenue Department
138.235.9.203,8880,NZ,Inland Revenue Department
138.235.9.206,8880,NZ,Inland Revenue Department
138.235.9.215,8880,NZ,Inland Revenue Department
138.235.9.236,8880,NZ,Inland Revenue Department
138.235.9.241,8880,NZ,Inland Revenue Department
138.235.9.249,8880,NZ,Inland Revenue Department
138.235.9.251,8880,NZ,Inland Revenue Department
138.235.9.252,8880,NZ,Inland Revenue Department
138.235.9.253,8880,NZ,Inland Revenue Department
138.235.11.6,8880,NZ,Inland Revenue Department
138.235.11.14,8880,NZ,Inland Revenue Department
138.235.11.20,8880,NZ,Inland Revenue Department
138.235.11.22,8880,NZ,Inland Revenue Department
138.235.11.25,8880,NZ,Inland Revenue Department
138.235.11.26,8880,NZ,Inland Revenue Department
138.235.11.28,8880,NZ,Inland Revenue Department
138.235.11.32,8880,NZ,Inland Revenue Department
138.235.11.37,8880,NZ,Inland Revenue Department
138.235.11.42,8880,NZ,Inland Revenue Department
138.235.11.43,8880,NZ,Inland Revenue Department
138.235.11.48,8880,NZ,Inland Revenue Department
138.235.11.55,8880,NZ,Inland Revenue Department
138.235.11.64,8880,NZ,Inland Revenue Department
138.235.11.76,8880,NZ,Inland Revenue Department
138.235.11.81,8880,NZ,Inland Revenue Department
138.235.11.91,8880,NZ,Inland Revenue Department
138.235.11.92,8880,NZ,Inland Revenue Department
138.235.11.122,8880,NZ,Inland Revenue Department
138.235.11.124,8880,NZ,Inland Revenue Department
138.235.11.132,8880,NZ,Inland Revenue Department
138.235.11.133,8880,NZ,Inland Revenue Department
138.235.11.139,8880,NZ,Inland Revenue Department
138.235.11.140,8880,NZ,Inland Revenue Department
138.235.11.147,8880,NZ,Inland Revenue Department
138.235.11.157,8880,NZ,Inland Revenue Department
138.235.11.166,8880,NZ,Inland Revenue Department
138.235.11.180,8880,NZ,Inland Revenue Department
138.235.11.185,8880,NZ,Inland Revenue Department
138.235.11.187,8880,NZ,Inland Revenue Department
138.235.11.188,8880,NZ,Inland Revenue Department
138.235.11.189,8880,NZ,Inland Revenue Department
138.235.11.192,8880,NZ,Inland Revenue Department
138.235.11.193,8880,NZ,Inland Revenue Department
138.235.11.194,8880,NZ,Inland Revenue Department
138.235.11.195,8880,NZ,Inland Revenue Department
138.235.11.198,8880,NZ,Inland Revenue Department
138.235.11.202,8880,NZ,Inland Revenue Department
138.235.11.203,8880,NZ,Inland Revenue Department
138.235.11.211,8880,NZ,Inland Revenue Department
138.235.11.213,8880,NZ,Inland Revenue Department
138.235.11.216,8880,NZ,Inland Revenue Department
138.235.11.221,8880,NZ,Inland Revenue Department
138.235.11.235,8880,NZ,Inland Revenue Department
138.235.11.237,8880,NZ,Inland Revenue Department
138.235.11.241,8880,NZ,Inland Revenue Department
138.235.11.245,8880,NZ,Inland Revenue Department
172.204.24.35,443,NZ,Microsoft Corporation
103.14.141.140,443,NZ,MikiPro Ltd
202.37.33.80,80,NZ,Ministry of Education
202.37.33.81,80,NZ,Ministry of Education
202.37.33.80,443,NZ,Ministry of Education
202.37.33.81,443,NZ,Ministry of Education
202.37.33.80,2052,NZ,Ministry of Education
202.37.33.81,2052,NZ,Ministry of Education
202.37.33.80,2053,NZ,Ministry of Education
202.37.33.81,2053,NZ,Ministry of Education
202.37.33.80,2082,NZ,Ministry of Education
202.37.33.81,2082,NZ,Ministry of Education
202.37.33.80,2083,NZ,Ministry of Education
202.37.33.81,2083,NZ,Ministry of Education
202.37.33.80,2086,NZ,Ministry of Education
202.37.33.81,2086,NZ,Ministry of Education
202.37.33.80,2087,NZ,Ministry of Education
202.37.33.81,2087,NZ,Ministry of Education
202.37.33.80,2095,NZ,Ministry of Education
202.37.33.81,2095,NZ,Ministry of Education
202.37.33.80,2096,NZ,Ministry of Education
202.37.33.81,2096,NZ,Ministry of Education
202.37.33.80,8080,NZ,Ministry of Education
202.37.33.81,8080,NZ,Ministry of Education
202.37.33.80,8443,NZ,Ministry of Education
202.37.33.81,8443,NZ,Ministry of Education
202.37.33.80,8880,NZ,Ministry of Education
202.37.33.81,8880,NZ,Ministry of Education
45.15.140.70,443,NZ,PQ HOSTING PLUS S.R.L.
45.15.140.120,443,NZ,PQ HOSTING PLUS S.R.L.
45.15.140.120,2053,NZ,PQ HOSTING PLUS S.R.L.
45.15.140.120,2083,NZ,PQ HOSTING PLUS S.R.L.
45.15.140.120,2443,NZ,PQ HOSTING PLUS S.R.L.
45.15.140.120,4443,NZ,PQ HOSTING PLUS S.R.L.
45.15.140.120,6001,NZ,PQ HOSTING PLUS S.R.L.
45.15.140.120,6006,NZ,PQ HOSTING PLUS S.R.L.
45.15.140.120,6007,NZ,PQ HOSTING PLUS S.R.L.
45.15.140.120,6013,NZ,PQ HOSTING PLUS S.R.L.
45.15.140.120,6014,NZ,PQ HOSTING PLUS S.R.L.
45.15.140.120,6016,NZ,PQ HOSTING PLUS S.R.L.
45.15.140.120,6018,NZ,PQ HOSTING PLUS S.R.L.
45.15.140.120,6019,NZ,PQ HOSTING PLUS S.R.L.
45.15.140.120,6023,NZ,PQ HOSTING PLUS S.R.L.
45.15.140.120,8443,NZ,PQ HOSTING PLUS S.R.L.
45.15.140.120,10000,NZ,PQ HOSTING PLUS S.R.L.
45.15.140.70,46741,NZ,PQ HOSTING PLUS S.R.L.
45.15.140.120,63996,NZ,PQ HOSTING PLUS S.R.L.
185.71.230.52,443,NZ,REDSHIELD SECURITY LIMITED
103.241.85.212,443,NZ,REDSHIELD SECURITY LIMITED
222.152.139.70,443,NZ,Spark New Zealand Trading Ltd.
222.152.137.234,443,NZ,Spark New Zealand Trading Ltd.
122.57.10.62,6666,NZ,Spark New Zealand Trading Ltd.
222.152.209.202,443,NZ,Spark New Zealand Trading Ltd.
222.152.238.234,443,NZ,Spark New Zealand Trading Ltd.
222.152.225.184,443,NZ,Spark New Zealand Trading Ltd.
115.188.73.196,2096,NZ,Spark New Zealand Trading Ltd.
115.188.137.108,2096,NZ,Spark New Zealand Trading Ltd.
115.188.168.31,16992,NZ,Spark New Zealand Trading Ltd.
222.152.139.70,8000,NZ,Spark New Zealand Trading Ltd.
125.238.249.90,8081,NZ,Spark New Zealand Trading Ltd.
125.238.249.90,21571,NZ,Spark New Zealand Trading Ltd.
125.238.249.90,22207,NZ,Spark New Zealand Trading Ltd.
125.238.249.90,23475,NZ,Spark New Zealand Trading Ltd.
125.238.249.90,26314,NZ,Spark New Zealand Trading Ltd.
125.238.249.90,26828,NZ,Spark New Zealand Trading Ltd.
125.238.249.90,26956,NZ,Spark New Zealand Trading Ltd.
125.238.249.90,27490,NZ,Spark New Zealand Trading Ltd.
125.238.249.90,33837,NZ,Spark New Zealand Trading Ltd.
125.238.249.90,37215,NZ,Spark New Zealand Trading Ltd.
125.238.249.90,37443,NZ,Spark New Zealand Trading Ltd.
103.76.247.224,443,NZ,Telnet Telecommunication Limited
103.77.5.17,443,NZ,Telnet Telecommunication Limited
119.224.29.138,8443,NZ,Two Degrees Networks Limited
119.224.29.138,443,NZ,Two Degrees Networks Limited
119.224.29.138,993,NZ,Two Degrees Networks Limited
103.208.85.21,20205,NZ,Zappie Host
103.208.85.85,20205,NZ,Zappie Host
103.208.85.85,443,NZ,Zappie Host
103.208.85.21,443,NZ,Zappie Host
185.99.132.9,18443,NZ,Zappie Host
103.208.85.21,73,NZ,Zappie Host
103.208.85.85,73,NZ,Zappie Host
103.208.85.21,74,NZ,Zappie Host
103.208.85.85,74,NZ,Zappie Host
103.208.85.21,88,NZ,Zappie Host
103.208.85.85,88,NZ,Zappie Host
103.208.85.21,888,NZ,Zappie Host
103.208.85.85,888,NZ,Zappie Host
103.208.85.21,20208,NZ,Zappie Host
103.208.85.85,20208,NZ,Zappie Host
202.49.176.131,8443,RU,JSC Selectel
202.49.176.124,8443,RU,JSC Selectel
202.49.176.116,443,RU,JSC Selectel
202.49.176.234,443,RU,JSC Selectel
93.114.183.190,10443,TR,ibrahim tufek
93.114.183.188,8080,TR,ibrahim tufek
94.141.96.92,443,TR,Unknown Organization
94.141.96.133,2053,TR,Unknown Organization
103.214.70.245,443,TW,Antbox Networks Limited
213.170.157.1,443,US,Amazon.com, Inc.
213.170.157.1,80,US,Amazon.com, Inc.
8.39.204.176,443,US,Cloudflare, Inc.
8.39.204.153,8443,US,Cloudflare, Inc.
8.39.204.206,2053,US,Cloudflare, Inc.
8.39.204.220,2053,US,Cloudflare, Inc.
8.39.204.232,2053,US,Cloudflare, Inc.
8.39.204.144,2053,US,Cloudflare, Inc.
8.39.204.85,2053,US,Cloudflare, Inc.
8.39.204.92,2053,US,Cloudflare, Inc.
8.39.204.46,2053,US,Cloudflare, Inc.
8.39.204.143,2053,US,Cloudflare, Inc.
8.39.204.40,2053,US,Cloudflare, Inc.
8.39.204.95,2053,US,Cloudflare, Inc.
8.39.204.196,2083,US,Cloudflare, Inc.
8.39.204.67,2083,US,Cloudflare, Inc.
8.39.204.102,443,US,Cloudflare, Inc.
8.39.204.212,2053,US,Cloudflare, Inc.
8.39.204.154,2053,US,Cloudflare, Inc.
8.39.204.3,2053,US,Cloudflare, Inc.
8.39.204.169,443,US,Cloudflare, Inc.
8.39.204.155,443,US,Cloudflare, Inc.
8.39.204.233,443,US,Cloudflare, Inc.
